Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537885800,2018-09-25 22:30:00,EOSUSDT,5.1823,5.1736,5.1802,5.1798,12695.53,2018-09-25,22:30:00,5.1823,5.1736,5.1802,5.1798,1269553
1537885860,2018-09-25 22:31:00,EOSUSDT,5.192,5.1797,5.1797,5.1849,14926.52,2018-09-25,22:31:00,5.192,5.1797,5.1797,5.1849,1492652
1537885920,2018-09-25 22:32:00,EOSUSDT,5.1904,5.1824,5.1865,5.1904,8615.3,2018-09-25,22:32:00,5.1904,5.1824,5.1865,5.1904,861529
1537885980,2018-09-25 22:33:00,EOSUSDT,5.1904,5.1871,5.1888,5.19,16590.83,2018-09-25,22:33:00,5.1904,5.1871,5.1888,5.19,1659083
1537886040,2018-09-25 22:34:00,EOSUSDT,5.1998,5.1872,5.1899,5.1998,8718.0,2018-09-25,22:34:00,5.1998,5.1872,5.1899,5.1998,871800
1537886100,2018-09-25 22:35:00,EOSUSDT,5.2062,5.2,5.2,5.2027,12944.29,2018-09-25,22:35:00,5.2062,5.2,5.2,5.2027,1294429
1537886160,2018-09-25 22:36:00,EOSUSDT,5.206,5.198,5.2044,5.2,8265.17,2018-09-25,22:36:00,5.206,5.198,5.2044,5.2,826517
1537886220,2018-09-25 22:37:00,EOSUSDT,5.2061,5.2021,5.2051,5.2022,10611.73,2018-09-25,22:37:00,5.2061,5.2021,5.2051,5.2022,1061173
1537886280,2018-09-25 22:38:00,EOSUSDT,5.2098,5.2022,5.2061,5.2052,10544.86,2018-09-25,22:38:00,5.2098,5.2022,5.2061,5.2052,1054486
1537886340,2018-09-25 22:39:00,EOSUSDT,5.2038,5.1989,5.2033,5.2038,12464.9,2018-09-25,22:39:00,5.2038,5.1989,5.2033,5.2038,1246490
1537886400,2018-09-25 22:40:00,EOSUSDT,5.2075,5.2026,5.2063,5.2075,8356.73,2018-09-25,22:40:00,5.2075,5.2026,5.2063,5.2075,835673
1537886460,2018-09-25 22:41:00,EOSUSDT,5.2036,5.1954,5.2036,5.1987,4382.99,2018-09-25,22:41:00,5.2036,5.1954,5.2036,5.1987,438299
1537886520,2018-09-25 22:42:00,EOSUSDT,5.2116,5.1984,5.1984,5.2015,3417.99,2018-09-25,22:42:00,5.2116,5.1984,5.1984,5.2015,341799
1537886580,2018-09-25 22:43:00,EOSUSDT,5.2069,5.2016,5.2016,5.2018,3805.3,2018-09-25,22:43:00,5.2069,5.2016,5.2016,5.2018,380530
1537886640,2018-09-25 22:44:00,EOSUSDT,5.2037,5.1985,5.2023,5.2007,4250.44,2018-09-25,22:44:00,5.2037,5.1985,5.2023,5.2007,425043
1537886700,2018-09-25 22:45:00,EOSUSDT,5.2031,5.199,5.2019,5.1991,15218.73,2018-09-25,22:45:00,5.2031,5.199,5.2019,5.1991,1521873
1537886760,2018-09-25 22:46:00,EOSUSDT,5.206,5.199,5.1991,5.2022,11174.12,2018-09-25,22:46:00,5.206,5.199,5.1991,5.2022,1117412
1537886820,2018-09-25 22:47:00,EOSUSDT,5.2088,5.2023,5.2059,5.203,4269.08,2018-09-25,22:47:00,5.2088,5.2023,5.2059,5.203,426908
1537886880,2018-09-25 22:48:00,EOSUSDT,5.207,5.1988,5.203,5.2029,9419.87,2018-09-25,22:48:00,5.207,5.1988,5.203,5.2029,941987
1537886940,2018-09-25 22:49:00,EOSUSDT,5.2041,5.2012,5.2013,5.204,7951.17,2018-09-25,22:49:00,5.2041,5.2012,5.2013,5.204,795117
1537887000,2018-09-25 22:50:00,EOSUSDT,5.2087,5.1997,5.2031,5.2056,7209.99,2018-09-25,22:50:00,5.2087,5.1997,5.2031,5.2056,720999
1537887060,2018-09-25 22:51:00,EOSUSDT,5.2108,5.2056,5.2072,5.2101,7704.54,2018-09-25,22:51:00,5.2108,5.2056,5.2072,5.2101,770454
1537887120,2018-09-25 22:52:00,EOSUSDT,5.2125,5.2077,5.2101,5.2082,9457.03,2018-09-25,22:52:00,5.2125,5.2077,5.2101,5.2082,945703
1537887180,2018-09-25 22:53:00,EOSUSDT,5.2105,5.2057,5.2105,5.2057,7345.64,2018-09-25,22:53:00,5.2105,5.2057,5.2105,5.2057,734564
1537887240,2018-09-25 22:54:00,EOSUSDT,5.209,5.1988,5.209,5.2027,5456.78,2018-09-25,22:54:00,5.209,5.1988,5.209,5.2027,545678
1537887300,2018-09-25 22:55:00,EOSUSDT,5.2037,5.2005,5.2027,5.2037,1612.01,2018-09-25,22:55:00,5.2037,5.2005,5.2027,5.2037,161201
1537887360,2018-09-25 22:56:00,EOSUSDT,5.203,5.1985,5.2018,5.2009,2999.53,2018-09-25,22:56:00,5.203,5.1985,5.2018,5.2009,299953
1537887420,2018-09-25 22:57:00,EOSUSDT,5.2001,5.1985,5.1986,5.1999,613.14,2018-09-25,22:57:00,5.2001,5.1985,5.1986,5.1999,61314
